iter	MultiClass
0	1.08652766
1	1.07541286
2	1.065332928
3	1.054948664
4	1.045316213
5	1.036131741
6	1.027278401
7	1.018231246
8	1.009793519
9	1.001508125
10	0.9942381164
11	0.9865584557
12	0.979332384
13	0.9725883248
14	0.9659427039
15	0.9594849309
16	0.9531844043
17	0.9475586239
18	0.9419572418
19	0.9361802147
20	0.9309012677
21	0.9258033066
22	0.920943105
23	0.9164227831
24	0.9115035894
25	0.9068667026
26	0.9023426292
27	0.8981175582
28	0.8941670422
29	0.8899121545
30	0.8858761728
31	0.881967475
32	0.8782726734
33	0.875269671
34	0.871829799
35	0.8681243815
36	0.8646795219
37	0.8611726818
38	0.8581639978
39	0.855145215
40	0.8520189022
41	0.8489947104
42	0.8461971762
43	0.8437695365
44	0.8409183892
45	0.8380015873
46	0.83558874
47	0.8331081758
48	0.8307012163
49	0.8281525005
50	0.825899268
51	0.8236746318
52	0.8215184699
53	0.8192256293
54	0.8173792441
55	0.8151548348
56	0.8131702132
57	0.8112499489
58	0.8092722496
59	0.8073688535
60	0.8054821265
61	0.8038460116
62	0.8019301806
63	0.8003445244
64	0.798551637
65	0.7971713086
66	0.7955533256
67	0.7940184347
68	0.7924459732
69	0.7909771068
70	0.7896511981
71	0.7882303052
72	0.786650936
73	0.7855132073
74	0.7842997174
75	0.7830328823
76	0.7816690817
77	0.7803746671
78	0.7791139466
79	0.7779356721
80	0.7766301731
81	0.7753937577
82	0.7741204936
83	0.77304961
84	0.7720930081
85	0.7708297489
86	0.7698444281
87	0.76888596
88	0.7678919043
89	0.766951782
90	0.7659652694
91	0.7647544734
92	0.7638144118
93	0.7625800375
94	0.7615118947
95	0.7606105272
96	0.7596753658
97	0.7585405429
98	0.757780577
99	0.756891515
100	0.7561417136
101	0.7553842259
102	0.7545057091
103	0.753744209
104	0.7529986762
105	0.7522580986
106	0.751458352
107	0.7507341924
108	0.7499125789
109	0.7491507266
110	0.7482432906
111	0.7473700879
112	0.7466858048
113	0.7460709154
114	0.7454004534
115	0.7447495414
116	0.7440248108
117	0.7434480754
118	0.7427758564
119	0.7421837124
120	0.7414381404
121	0.740711133
122	0.7401022992
123	0.7395352537
124	0.738979393
125	0.7383352044
126	0.7377095792
127	0.73723275
128	0.7366112421
129	0.7360771098
130	0.7354694711
131	0.734960363
132	0.7344041122
133	0.7338678898
134	0.7334675956
135	0.7328179508
136	0.7323958895
137	0.7319769332
138	0.7313276605
139	0.7307761085
140	0.7302699702
141	0.7298206085
142	0.7292966316
143	0.7287788574
144	0.7283001959
145	0.7276622458
146	0.7272409492
147	0.7267301525
148	0.7263804256
149	0.7258807347
150	0.7253843944
151	0.7249297391
152	0.724517529
153	0.7240093456
154	0.7236020722
155	0.7230578482
156	0.7224801183
157	0.7221014747
158	0.7216760751
159	0.7211848227
160	0.7207977365
161	0.7204029769
162	0.7200259647
163	0.7196981806
164	0.7192758015
165	0.7188719708
166	0.7185205951
167	0.7181890254
168	0.7177563804
169	0.717321747
170	0.7169798867
171	0.7166237961
172	0.7161149692
173	0.7156987059
174	0.7154473907
175	0.7150811527
176	0.71471661
177	0.714264798
178	0.7138334092
179	0.7134349879
180	0.71304038
181	0.7126342794
182	0.7122654427
183	0.7118646114
184	0.7113450375
185	0.7109445357
186	0.710588177
187	0.7101880763
188	0.7098291496
189	0.7094629519
190	0.709133892
191	0.7086861324
192	0.7083646476
193	0.7078041603
194	0.7075461019
195	0.7071792421
196	0.7065388018
197	0.706225831
198	0.7058396933
199	0.705413508
200	0.7050520476
201	0.7047594883
202	0.7043957901
203	0.7041258769
204	0.7037737491
205	0.7034040972
206	0.7030406509
207	0.7027774287
208	0.7024861669
209	0.7022209543
210	0.7019693187
211	0.7016606929
212	0.7013143653
213	0.7008117226
