iter	Passed	Remaining
0	14	72662
1	29	73367
2	44	73504
3	59	73879
4	81	81196
5	97	80833
6	117	84057
7	133	83365
8	148	82396
9	163	81677
10	178	80880
11	193	80293
12	207	79784
13	223	79454
14	237	79080
15	253	78841
16	267	78442
17	282	78175
18	297	77925
19	312	77774
20	327	77612
21	342	77429
22	356	77231
23	371	77082
24	386	76990
25	401	76833
26	416	76684
27	431	76534
28	445	76392
29	460	76218
30	474	76098
31	489	75999
32	505	76020
33	519	75911
34	534	75800
35	549	75760
36	564	75709
37	579	75609
38	594	75572
39	608	75487
40	623	75450
41	638	75403
42	653	75351
43	668	75300
44	683	75230
45	698	75202
46	713	75164
47	728	75111
48	742	75031
49	757	75039
50	772	74954
51	787	74920
52	802	74877
53	817	74865
54	832	74819
55	847	74818
56	862	74781
57	879	74975
58	901	75467
59	918	75609
60	933	75582
61	948	75539
62	963	75488
63	979	75509
64	995	75566
65	1012	75685
66	1028	75710
67	1044	75767
68	1061	75871
69	1078	75953
70	1094	75974
71	1110	76000
72	1134	76582
73	1151	76632
74	1167	76654
75	1183	76686
76	1200	76742
77	1216	76770
78	1233	76830
79	1249	76867
80	1266	76934
81	1283	76968
82	1300	77025
83	1316	77030
84	1332	77032
85	1349	77104
86	1365	77120
87	1381	77133
88	1397	77141
89	1414	77175
90	1431	77222
91	1448	77249
92	1464	77275
93	1480	77287
94	1497	77295
95	1513	77291
96	1529	77309
97	1546	77343
98	1562	77358
99	1579	77409
100	1596	77416
101	1612	77421
102	1628	77428
103	1644	77421
104	1660	77413
105	1676	77395
106	1693	77421
107	1708	77392
108	1724	77402
109	1741	77418
110	1757	77396
111	1773	77393
112	1790	77429
113	1806	77442
114	1822	77433
115	1839	77453
116	1856	77470
117	1872	77451
118	1887	77439
119	1904	77464
120	1924	77595
121	1947	77873
122	1963	77849
123	1979	77836
124	1995	77826
125	2012	77840
126	2028	77828
127	2044	77810
128	2060	77815
129	2076	77802
130	2093	77810
131	2109	77789
132	2132	78044
133	2148	78032
134	2164	78008
135	2181	78007
136	2196	77983
137	2213	77970
138	2229	77955
139	2245	77944
140	2261	77949
141	2278	77948
142	2294	77934
143	2310	77915
144	2326	77908
145	2343	77917
146	2359	77899
147	2375	77884
148	2391	77857
149	2407	77844
150	2424	77862
151	2441	77859
152	2456	77835
153	2472	77811
154	2488	77771
155	2504	77774
156	2521	77766
157	2536	77742
158	2553	77732
159	2569	77720
160	2585	77701
161	2601	77687
162	2617	77666
163	2632	77633
164	2649	77643
165	2665	77627
166	2682	77620
167	2698	77623
168	2715	77612
169	2730	77589
170	2747	77577
171	2762	77552
172	2779	77549
173	2795	77534
174	2811	77525
175	2828	77516
176	2844	77506
177	2860	77480
178	2876	77475
179	2892	77441
180	2908	77423
181	2924	77409
182	2940	77396
183	2965	77613
184	2985	77713
185	3002	77697
186	3018	77689
187	3035	77686
188	3051	77682
189	3068	77675
190	3091	77827
191	3107	77813
192	3133	78051
193	3150	78046
194	3166	78027
195	3182	78015
196	3199	78017
197	3215	77988
198	3231	77969
199	3248	77971
200	3265	77955
201	3282	77956
202	3298	77941
203	3314	77918
204	3330	77900
205	3346	77885
206	3363	77877
207	3379	77863
208	3395	77840
209	3411	77808
210	3427	77786
211	3443	77770
212	3460	77762
213	3476	77750
214	3492	77733
215	3509	77736
216	3525	77709
217	3541	77696
218	3557	77670
219	3574	77657
220	3590	77649
221	3607	77637
222	3623	77623
223	3639	77593
224	3655	77582
225	3671	77553
226	3687	77530
227	3703	77521
228	3719	77497
229	3736	77483
230	3752	77470
231	3769	77465
232	3785	77439
233	3801	77421
234	3817	77400
235	3832	77373
236	3848	77342
237	3864	77315
238	3879	77288
239	3895	77269
240	3912	77258
241	3928	77240
242	3944	77213
243	3960	77199
244	3976	77184
245	4001	77331
246	4021	77376
247	4036	77339
248	4053	77340
249	4069	77313
250	4084	77287
251	4101	77282
252	4118	77266
253	4140	77366
254	4156	77352
255	4172	77329
256	4189	77309
257	4205	77289
258	4221	77282
259	4238	77266
260	4254	77247
261	4270	77220
262	4286	77207
263	4303	77198
264	4319	77181
265	4335	77155
266	4351	77138
267	4368	77127
268	4384	77108
269	4400	77084
270	4416	77074
271	4431	77038
272	4448	77017
273	4464	77010
274	4480	76991
275	4497	76978
276	4513	76951
277	4528	76924
278	4544	76898
279	4560	76878
280	4577	76871
281	4593	76854
282	4610	76840
283	4626	76833
284	4643	76827
285	4660	76815
286	4676	76794
287	4693	76785
288	4708	76759
289	4724	76728
290	4741	76721
291	4756	76693
292	4772	76673
293	4788	76652
294	4804	76630
295	4820	76608
296	4837	76598
297	4853	76581
298	4869	76561
299	4886	76552
300	4903	76548
301	4919	76526
302	4935	76505
303	4951	76494
304	4968	76478
305	4984	76466
306	5045	77132
307	5074	77309
308	5096	77376
309	5111	77326
310	5125	77279
311	5140	77245
312	5156	77209
313	5170	77168
314	5185	77124
315	5200	77084
316	5215	77044
317	5229	76999
318	5244	76951
319	5258	76912
320	5273	76874
321	5290	76855
322	5305	76828
323	5322	76814
324	5338	76795
325	5354	76764
326	5370	76751
327	5386	76722
328	5402	76706
329	5419	76690
330	5435	76669
331	5452	76656
332	5467	76627
333	5483	76607
334	5500	76596
335	5516	76572
336	5532	76547
337	5547	76517
338	5563	76492
339	5579	76467
340	5594	76437
341	5611	76422
342	5626	76399
343	5643	76388
344	5660	76369
345	5676	76348
346	5692	76338
347	5709	76322
348	5726	76309
349	5742	76297
350	5759	76283
351	5775	76263
352	5791	76240
353	5807	76220
354	5824	76211
355	5840	76192
356	5857	76176
357	5873	76153
358	5889	76137
359	5905	76112
360	5921	76088
361	5937	76076
362	5953	76054
363	5970	76040
364	5987	76026
365	6002	75998
366	6019	75984
367	6038	76003
368	6058	76030
369	6077	76053
370	6106	76185
371	6122	76171
372	6138	76147
373	6154	76124
374	6170	76105
375	6187	76096
376	6204	76082
377	6220	76060
378	6235	76031
